zip_code,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative,total_doses_daily,total_doses_cumulative,_1st_dose_daily,_1st_dose_cumulative,_1st_dose_percent_population,vaccine_series_completed_daily,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population,population_age_0_17,population_age_18_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80,population_age_18_,population_age_65_,population_female,population_male,majority_latino,majority_black,majority_asian,majority_other,majority_white,vaccionation_sites,health_centers,number_of_hospitals
60601,1429,18842,9737.6,128395.2,0.25,0.204,1,11,6.8,75.0,14675,79.0,890.0,538.3,6064.7,576,3941,248,2432,0.161,328,1509,0.1,880.0,34.52230988530133,18.5374262414639,13.856659815686534,6.431081349864086,11.489756679705629,7.650997812106344,1.6773851355831069,94.16561691971094,13.982629450374596,53.39786514619108,46.60213485380893,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
60602,63,1802,5064.3,144855.3,0.173,0.062,1,1,80.4,80.4,1244,8.0,85.0,643.1,6832.8,93,664,30,403,0.352,67,261,0.228,149.0,18.078602620087338,46.02620087336244,15.72052401746725,5.764192139737991,1.3973799126637554,0.0,0.0,86.98689956331877,0.5240174672489083,44.19213973799126,55.80786026200874,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
60603,93,1538,7921.6,131005.1,0.375,0.2,0,0,0.0,0.0,1174,8.0,65.0,681.4,5536.6,140,719,37,452,0.43,103,267,0.254,16.0,47.338403041825096,12.452471482889733,7.224334600760455,16.53992395437262,8.079847908745247,6.844106463878327,0.0,98.47908745247148,11.406844106463879,50.28517110266159,49.71482889733841,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60604,82,1559,10485.9,199360.6,0.313,0.25,0,0,0.0,0.0,782,10.0,87.0,1278.8,11125.3,118,475,26,293,0.356,92,182,0.221,36.0,39.48967193195625,19.319562575941678,6.682867557715674,11.057108140947753,12.515188335358445,5.467800729040097,1.0935601458080195,95.62575941676792,8.748481166464156,52.36938031591738,47.630619684082625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60605,1946,31373,7071.5,114004.9,0.098,0.055,1,10,3.6,36.3,27519,161.0,1576.0,585.1,5727.0,1142,9811,475,5894,0.203,667,3917,0.135,2411.0,29.315209910529937,25.017205781142465,12.460426703372333,10.94287680660702,7.450103234686854,4.972470750172057,1.5450791465932554,91.70337233310393,10.058499655884377,54.810736407432906,45.1892635925671,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
60606,278,6312,8964.9,203547.2,0.267,0.235,1,2,32.2,64.5,3101,19.0,256.0,612.7,8255.4,137,1037,54,637,0.194,87,400,0.122,119.0,20.079099482811074,33.343474292668084,14.694250076057195,10.404624277456648,14.572558564040158,3.2856708244599937,0.0,96.37967751749315,11.499847885609979,48.85914207484028,51.14085792515972,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
60607,2233,44934,7546.2,151850.2,0.092,0.061,2,8,6.8,27.0,29591,166.0,2240.0,561.0,7569.9,1104,9614,407,5728,0.196,697,3886,0.133,3141.0,38.5074932577749,24.633871573413444,10.606629570204486,7.353292595500631,4.789540163178916,2.2223739459939233,1.1641006383777694,89.27730174444406,5.270883828901103,49.71494896391629,50.28505103608371,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
60608,3448,83095,4353.3,104911.3,0.208,0.292,10,133,12.6,167.9,79205,515.0,7324.0,650.2,9246.9,2991,15743,1479,10637,0.133,1512,5106,0.064,14812.0,25.549906943629075,18.120386215166313,12.855519054697162,10.212468304625338,8.375073383379759,4.079491375110856,2.3057994728887445,81.49864474949725,9.91643662798686,44.46595635718658,55.53404364281342,1.0,0.0,0.0,0.0,0.0,7.0,12.0,2.0
60609,2628,58148,4273.5,94557.3,0.405,0.377,11,127,17.9,206.5,61495,452.0,6360.0,735.0,10342.3,1651,8459,928,6005,0.099,723,2454,0.04,15773.0,20.42042042042042,13.401926516680614,12.46656492558132,11.052035642199577,8.930241717126963,6.109388076601192,1.7361623919000968,74.11673969051019,12.098984230131771,50.51280788985707,49.48719211014293,1.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0
60610,2875,51679,7368.2,132445.7,0.126,0.101,6,31,15.4,79.4,39019,261.0,2808.0,668.9,7196.5,1744,11272,742,7067,0.174,1002,4205,0.104,3716.0,29.56989247311828,22.509124987668937,8.794515142547105,8.518299299595542,10.666370721120646,7.763638157245733,3.0137121436322385,90.83555292492848,16.121633619414027,53.09509716878761,46.90490283121239,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
