Zip	Latitude	Longitude
60691	41.811929	-87.68732
60699	41.811929	-87.68732
60622	41.900332	-87.66927
60625	41.971614	-87.70256
60649	41.761734	-87.57072
60634	41.944454	-87.79654
60602	41.882937	-87.62874
60613	41.953256	-87.6629
60644	41.881331	-87.75671
60668	41.811929	-87.68732
60646	41.995331	-87.7601
60654	41.888627	-87.63538
60640	41.973181	-87.6665
60690	41.811929	-87.68732
60624	41.879365	-87.72199
60620	41.740483	-87.65282
60604	41.877589	-87.62818
60652	41.7446	-87.71188
60673	41.811929	-87.68732
60655	41.696283	-87.69912
60641	41.946431	-87.74576
60679	41.811929	-87.68732
60611	41.904667	-87.62504
60605	41.860019	-87.6187
60670	41.811929	-87.68732
60601	41.886456	-87.62325
60645	42.008956	-87.69634
60632	41.809299	-87.7105
60603	41.880446	-87.63014
60626	42.009731	-87.66938
60643	41.696433	-87.65993
60656	41.97508	-87.8163
60693	42.096428	-87.71791
60616	41.8474	-87.63126
60615	41.801525	-87.60215
60629	41.777482	-87.71155
60692	41.867532	-87.672553
60639	41.921431	-87.75415
60674	41.811929	-87.68732
60650	41.818682	-87.743454
60680	41.811929	-87.68732
60621	41.776983	-87.6404
60612	41.880682	-87.6877
60675	41.811929	-87.68732
60619	41.744834	-87.60444
60630	41.971044	-87.75869
60687	41.811929	-87.68732
60669	41.811929	-87.68732
60651	41.901485	-87.74055
60697	41.811929	-87.68732
60667	41.811929	-87.68732
60694	41.811929	-87.68732
60684	41.811929	-87.68732
60610	41.898582	-87.6371
60637	41.779384	-87.60544
60633	41.655423	-87.55365
60638	41.787982	-87.7738
60607	41.875882	-87.65114
60659	41.991381	-87.70378
60665	41.811929	-87.68732
60631	41.99623	-87.81091
60672	41.811929	-87.68732
60701	41.811929	-87.68732
60685	41.811929	-87.68732
60614	41.922682	-87.65432
60664	41.811929	-87.68732
60617	41.719973	-87.5557
60678	41.811929	-87.68732
60671	41.811929	-87.68732
60681	41.811929	-87.68732
60661	41.882082	-87.64461
60647	41.921126	-87.70085
60606	41.882582	-87.6376
60623	41.850232	-87.718
60663	41.811929	-87.68732
60609	41.814283	-87.65282
60636	41.776633	-87.66854
60657	41.940832	-87.65852
60618	41.945681	-87.7048
60677	41.811929	-87.68732
60628	41.695434	-87.62255
60608	41.850532	-87.6699
60653	41.819833	-87.61269
60683	41.811929	-87.68732
60660	41.990631	-87.6667
