,zip_code,date,total_doses_daily,total_doses_cumulative,_1st_dose_daily,_1st_dose_cumulative,_1st_dose_percent_population,vaccine_series_completed_daily,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population,population,zip_code_location,row_id,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6
0,60601,2021-03-13T00:00:00.000,30,4969,20,3033,0.201,12,1958,0.13,15083,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",60601-20210313,38,14309,580,36,42
1,60602,2021-03-13T00:00:00.000,10,811,7,487,0.425,4,328,0.286,1145,"{'type': 'Point', 'coordinates': [-87.628309, 41.883136]}",60602-20210313,38,14310,92,36,41
2,60603,2021-03-13T00:00:00.000,2,855,1,527,0.501,1,332,0.316,1052,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",60603-20210313,38,14311,367,36,34
3,60604,2021-03-13T00:00:00.000,2,571,2,341,0.414,0,234,0.284,823,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",60604-20210313,38,14912,92,10,29
4,60605,2021-03-13T00:00:00.000,88,11933,60,7140,0.246,30,4860,0.167,29060,"{'type': 'Point', 'coordinates': [-87.623449, 41.867824]}",60605-20210313,38,14913,368,10,35
5,60606,2021-03-13T00:00:00.000,14,1307,12,794,0.242,2,524,0.159,3287,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",60606-20210313,38,14914,92,36,46
6,60607,2021-03-13T00:00:00.000,72,11561,52,6855,0.234,24,4759,0.162,29293,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",60607-20210313,29,14917,87,26,44
7,60608,2021-03-13T00:00:00.000,900,23164,788,15746,0.197,121,7498,0.094,80059,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",60608-20210313,33,14920,126,26,43
8,60609,2021-03-13T00:00:00.000,181,11926,129,8007,0.131,57,3976,0.065,60939,"{'type': 'Point', 'coordinates': [-87.653382, 41.812017]}",60609-20210313,59,14924,123,48,37
9,60610,2021-03-13T00:00:00.000,100,14575,64,8979,0.221,42,5668,0.14,40548,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",60610-20210313,37,14926,290,11,54
10,60611,2021-03-13T00:00:00.000,81,18650,55,10672,0.321,30,8035,0.242,33224,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",60611-20210313,37,21182,158,36,6
