,geoid,children-in-poverty,dental-care,diabetes,frequent-mental-distress,frequent-physical-distress,housing-cost-excessive,income-inequality,life-expectancy,obesity,uninsured,preventive-services,zip_code
0,17031010100,63.0,54.7,10.7,13.6,13.1,44.1,-37.0,68.8,37.1,11.3,26.2,60626
1,17031010201,51.8,50.3,10.8,14.4,14.0,50.8,-24.8,77.3,37.2,17.4,24.8,60626
2,17031010201,51.8,50.3,10.8,14.4,14.0,50.8,-24.8,77.3,37.2,17.4,24.8,60645
3,17031010202,15.2,55.6,11.6,12.5,13.4,52.9,-32.0,78.6,35.1,26.6,27.3,60626
4,17031010300,27.9,59.7,10.8,11.8,12.5,48.0,-19.6,70.0,31.9,15.5,28.6,60626
5,17031010400,6.0,65.7,5.7,12.0,8.1,45.7,-24.3,79.7,24.6,6.4,30.7,60626
6,17031010400,6.0,65.7,5.7,12.0,8.1,45.7,-24.3,79.7,24.6,6.4,30.7,60660
7,17031010501,3.7,61.1,8.4,11.5,10.2,58.2,-40.1,80.8,30.7,17.0,29.6,60626
8,17031010502,28.9,57.4,6.7,13.4,10.6,51.8,-30.6,79.1,31.5,16.4,28.1,60626
9,17031010503,46.5,52.2,13.0,14.1,13.9,46.4,-42.6,78.4,28.3,8.0,24.1,60626
10,17031010503,46.5,52.2,13.0,14.1,13.9,46.4,-42.6,78.4,28.3,8.0,24.1,60660
11,17031010600,32.1,63.2,8.0,11.5,10.0,49.2,-18.2,79.1,30.0,21.3,30.3,60626
12,17031010600,32.1,63.2,8.0,11.5,10.0,49.2,-18.2,79.1,30.0,21.3,30.3,60660
13,17031010701,33.1,59.4,9.4,12.0,11.7,43.2,-7.9,83.8,32.1,12.2,29.1,60626
14,17031010701,33.1,59.4,9.4,12.0,11.7,43.2,-7.9,83.8,32.1,12.2,29.1,60645
15,17031010702,47.3,47.1,9.5,14.9,14.0,56.6,-29.8,75.4,36.4,19.7,23.3,60626
16,17031020100,33.3,55.6,11.6,12.6,13.0,41.5,-12.0,79.7,32.7,19.5,27.2,60645
17,17031020200,11.6,63.2,10.2,10.7,11.6,29.3,13.2,81.9,27.0,11.3,30.8,60645
18,17031020301,7.5,71.9,10.0,8.5,10.5,43.1,-5.8,83.7,22.8,7.3,33.4,60645
19,17031020302,14.3,67.7,9.3,9.8,10.6,30.4,3.5,73.0,27.0,12.7,32.7,60645
20,17031020400,32.5,62.5,9.9,11.0,11.5,38.4,-0.6,82.7,30.0,13.9,30.0,60645
21,17031020500,51.2,45.8,12.9,14.4,15.4,40.8,-23.4,77.6,31.9,27.2,23.0,60626
22,17031020500,51.2,45.8,12.9,14.4,15.4,40.8,-23.4,77.6,31.9,27.2,23.0,60645
23,17031020500,51.2,45.8,12.9,14.4,15.4,40.8,-23.4,77.6,31.9,27.2,23.0,60659
24,17031020601,43.3,55.5,10.3,12.9,13.0,55.5,-5.7,79.4,28.3,11.5,27.7,60645
25,17031020601,43.3,55.5,10.3,12.9,13.0,55.5,-5.7,79.4,28.3,11.5,27.7,60659
26,17031020602,40.1,54.5,11.1,12.2,13.0,49.6,-9.7,79.6,28.4,25.4,27.0,60645
