,id,src_id,name,slug,primary_type,sub_type,addr_street,addr_city,addr_zip,contact_phone,lat_long
0,,5843,Ann & Robert H. Lurie Children's Hospital of Chicago,ann_robert_h_lurie_children_s_hospital_of_chicago,Hospital,Children's Speciality Care Hospital,225 East Chicago Avenue,Chicago,60611,312-217-7424,"41.8967452,-87.6216242"
1,,4564,Kindred Chicago Central Hospital,kindred_chicago_central_hospital,Hospital,Rehabilitation Hospital,4058 West Melrose Street,Chicago,60641,773-481-5719,"41.940239,-87.72831"
2,,5207,Chicago Lakeshore Hospital,chicago_lakeshore_hospital,Hospital,Psychiatric Hospital,4840 North Marine Drive,Chicago,60640,773-907-4534,"41.9703718,-87.6499477"
3,,1115,Jackson Park Hosp. Foundation,jackson_park_hosp_foundation,Hospital,General Hospital,7531 South Stony Island Avenue,Chicago,60649,773-947-7701,"41.7577136,-87.5856672"
4,,4176,Advocate Trinity Hospital,advocate_trinity_hospital,Hospital,General Hospital,2320 East 93rd Street,Chicago,60617,773-967-5050,"41.7267,-87.567169"
5,,4937,Kindred Hospital  Chicago North,kindred_hospital_chicago_north,Hospital,Rehabilitation Hospital,2544 West Montrose Avenue,Chicago,60618,773-279-2685,"41.961555,-87.693245"
6,,125,Methodist Hospital of Chicago,methodist_hospital_of_chicago,Hospital,General Hospital,5025 North Paulina Street,Chicago,60640,773-989-1469,"41.9727885,-87.6710533"
7,,5272,John H. Stroger Hospital of Cook County,john_h_stroger_hospital_of_cook_county,Hospital,General Hospital,1969 West Ogden Avenue,Chicago,60612,312-864-5504,"41.873814,-87.67421"
8,,1727,Norwegian American Hospital,norwegian_american_hospital,Hospital,General Hospital,1044 North Francisco Avenue,Chicago,60622,773-292-8238,"41.900784,-87.699646"
9,,1578,Mercy Hospital & Medical Center,mercy_hospital_medical_center,Hospital,General Hospital,2525 South Michigan Avenue,Chicago,60616,312-567-5666,"41.8470646,-87.6235186"
10,,4549,Provident Hospital of Cook County,provident_hospital_of_cook_county,Hospital,General Hospital,500 East 51st Street,Chicago,60615,312-572-1210,"41.8021853,-87.61399"
11,,1958,Shirley Ryan AbilityLab (Formerly RIC),shirley_ryan_abilitylab_formerly_ric,Hospital,Rehabilitation Hospital,345 East Superior Street,Chicago,60611,312-238-6208,"41.8957568,-87.6195563"
12,,2063,Roseland Community Hospital,roseland_community_hospital,Hospital,General Hospital,45 West 111th Street,Chicago,60628,773-995-3178,"41.693222,-87.624352"
13,,5678,RML Specialty Hospital Chicago,rml_specialty_hospital_chicago,Hospital,Rehabilitation Hospital,3435 West Van Buren Street,Chicago,60624,630-286-4458,"41.8753874,-87.7121045"
14,,5165,Advocate Illinois Masonic Medical Center,advocate_illinois_masonic_medical_center,Hospital,General Hospital,836 West Wellington Avenue,Chicago,60657,773-296-5239,"41.9359703,-87.6741714"
